"sku","name","category","category_label","unit","price","image","hero_image","story","badge","hover_image"
"HS-9070","24OZ 90 PP Clear Injection Cup","cups-lids-carriers","Cups, Lids & Carriers","500 PCS","59.00","/assets/catalog/item-119.png","","","",""
"HS-90L","Lids for 90 PP Clear Injection Cup","cups-lids-carriers","Cups, Lids & Carriers","1000PCS","36.00","/assets/catalog/item-120.png","","","",""
"CSL-90","10-24 oz Kraft Paper Cup Sleeve","cups-lids-carriers","Cups, Lids & Carriers","1000PCS","29.00","/assets/catalog/item-121.png","","","",""
"LP-CH2C","2-CUP 12-32OZ Drink Carrier with Handle","cups-lids-carriers","Cups, Lids & Carriers","200PCS/CTN","45.00","/assets/catalog/item-122.png","","","",""
"LP-CH4C","4-CUP 12-32OZ Drink Carrier with Handle","cups-lids-carriers","Cups, Lids & Carriers","200PCS/CTN","55.00","/assets/catalog/item-123.png","","","",""
"EP-2C-02","2 Cup Carrier (Carry 8 to 22 oz)","cups-lids-carriers","Cups, Lids & Carriers","500PCS","34.00","/assets/catalog/item-124.png","","","",""
"EP-4C-02","4 Cup Carrier (Carry 8 to 32 oz)","cups-lids-carriers","Cups, Lids & Carriers","300PCS","34.00","/assets/catalog/item-125.png","","","",""
"PAPER04","4 oz White Paper Hot Cup","cups-lids-carriers","Cups, Lids & Carriers","1000 PCS","28.00","/assets/catalog/item-126.png","","","",""
"PAPER06","6 oz White Paper Hot Cup","cups-lids-carriers","Cups, Lids & Carriers","1000 PCS","30.00","/assets/catalog/item-127.png","","","",""
"PAPER08","8 oz White Paper Hot Cup","cups-lids-carriers","Cups, Lids & Carriers","1000 PCS","30.00","/assets/catalog/item-128.png","","","",""
"PAPER10","10 oz White Paper Hot Cup","cups-lids-carriers","Cups, Lids & Carriers","1000 PCS","35.00","/assets/catalog/item-129.png","","","",""
"PAPER12","12 oz White Paper Hot Cup","cups-lids-carriers","Cups, Lids & Carriers","1000 PCS","40.00","/assets/catalog/item-130.png","","","",""
"PAPER16","16 oz White Paper Hot Cup","cups-lids-carriers","Cups, Lids & Carriers","1000 PCS","43.00","/assets/catalog/item-131.png","","","",""
"PAPER20","20 oz White Paper Hot Cup","cups-lids-carriers","Cups, Lids & Carriers","500PCS","34.00","/assets/catalog/item-132.png","","","",""
"Coffee Cup 12oz","Coffee Paper Cup 12oz","cups-lids-carriers","Cups, Lids & Carriers","50*20 Bags","45.00","/assets/catalog/item-133.png","","","",""
"Coffee Cup 16oz","Coffee Paper Cup 16oz","cups-lids-carriers","Cups, Lids & Carriers","50*20 Bags","49.00","/assets/catalog/item-134.png","","","",""
"Coffee Cup 20oz","Coffee Paper Cup 20oz","cups-lids-carriers","Cups, Lids & Carriers","50*10 Bags","35.00","/assets/catalog/item-135.png","","","",""
"PRKC-12","12 oz Double Wall Ripple Kraft Paper Hot Cup","cups-lids-carriers","Cups, Lids & Carriers","500PCS/CTN","45.00","/assets/catalog/item-136.png","","","",""
"PRKC-16","16 oz Double Wall Ripple Kraft Paper Hot Cup","cups-lids-carriers","Cups, Lids & Carriers","500PCS/CTN","56.00","/assets/catalog/item-137.png","","","",""
"PAPERCUPLID","Paper Cup Lid (10oz-20oz)","cups-lids-carriers","Cups, Lids & Carriers","50*20 Bags","27.00","/assets/catalog/item-138.png","","","",""
"CDA05","5 oz White Paper Food Cup","cups-lids-carriers","Cups, Lids & Carriers","500PCS/CTN","25.00","/assets/catalog/item-199.png","","","",""
"CDA08","8 oz White Paper Food Cup","cups-lids-carriers","Cups, Lids & Carriers","500PCS/CTN","25.00","/assets/catalog/item-200.png","","","",""
"CDA12","12 oz White Paper Food Cup","cups-lids-carriers","Cups, Lids & Carriers","500PCS/CTN","28.00","/assets/catalog/item-201.png","","","",""
"CDA16","16 oz White Paper Food Cup","cups-lids-carriers","Cups, Lids & Carriers","500PCS/CTN","30.00","/assets/catalog/item-202.png","","","",""
"CDA32","32 oz White Paper Food Cup","cups-lids-carriers","Cups, Lids & Carriers","500PCS/CTN","48.00","/assets/catalog/item-203.png","","","",""
"CDA115","115MM Paper Lid (Fit 32 oz)","cups-lids-carriers","Cups, Lids & Carriers","500PCS/CTN","","/assets/catalog/item-204.png","","","",""
"CDA98PP","98mm PP Flat Lid (8oz-16oz)","cups-lids-carriers","Cups, Lids & Carriers","500PCS/CTN","20.00","/assets/catalog/item-205.png","","","",""
"PSS-6229","9"" Plastic Sharp Straws Black 6*229MM Film Wrapped","straws-chopsticks-cutlery","Straws, Chopsticks & Cutlery","300PCS* 24BAGS","47.00","/assets/catalog/item-139.png","","","",""
"STRAWB1","9"" Plastic Boba Straws Black 12*229MM Film Wrapped","straws-chopsticks-cutlery","Straws, Chopsticks & Cutlery","200*8 Bags","28.00","/assets/catalog/item-140.png","","","",""
"STRAW S3","9""BOBA Straws 9x12mm Color Straw","straws-chopsticks-cutlery","Straws, Chopsticks & Cutlery","200*8 Bags","28.00","/assets/catalog/item-141.png","","","",""
"STRAWS","7.75"" Clear Straight Jumbo Straws (Paper Wrapped)","straws-chopsticks-cutlery","Straws, Chopsticks & Cutlery","500*24 Bags","45.00","/assets/catalog/item-142.png","","","",""
"PSS-74260","10.25"" Plastic Giant Straws (Paper Wrapped)","straws-chopsticks-cutlery","Straws, Chopsticks & Cutlery","300PCS *4BOXE S","14.00","/assets/catalog/item-143.png","","","",""
"STRAWC","9x7mm Red Straw","straws-chopsticks-cutlery","Straws, Chopsticks & Cutlery","300*24 Bags","","/assets/catalog/item-144.png","","","",""
"BC-5522RI","22CM×0.55CM Bamboo Chopsticks Individually Wrapped (Round)","straws-chopsticks-cutlery","Straws, Chopsticks & Cutlery","1600 PCS","26.00","/assets/catalog/item-145.png","","","",""
"TC01","23CM Bamboo Chopsticks Paper Warpped (Twin)","straws-chopsticks-cutlery","Straws, Chopsticks & Cutlery","1400 PCS","28.00","/assets/catalog/item-146.png","","","",""
"BC-4823T","23CM Bamboo Chopsticks Paper Warpped (Twin)","straws-chopsticks-cutlery","Straws, Chopsticks & Cutlery","2000 PCS","39.00","/assets/catalog/item-147.png","","","",""
"2.5G SPOON","PP2.5g White Soup Spoon， 1000BULK","straws-chopsticks-cutlery","Straws, Chopsticks & Cutlery","1000 PCS","7.00","/assets/catalog/item-148.png","","","",""
"2.5G FORK","PP2.5g White FORK，1000BULK","straws-chopsticks-cutlery","Straws, Chopsticks & Cutlery","1000 PCS","7.00","/assets/catalog/item-149.png","","","",""
"5G SPOON","PP5.0g White Plastic Soup Spoon (Extra Heavy)","straws-chopsticks-cutlery","Straws, Chopsticks & Cutlery","1000 PCS","15.00","/assets/catalog/item-150.png","","","",""
"5G FORK","PP5.4g White Plastic Fork (Heavy Weight)","straws-chopsticks-cutlery","Straws, Chopsticks & Cutlery","1000 PCS","15.00","/assets/catalog/item-151.png","","","",""
